Device A,,Device B,
With,Without,With,Without
17,14,17,15
17,15,17,15
18,16,17,14
18,15,16,15
18,16,17,13
17,15,17,13
17,16,17,13
18,14,17,13
17,14,15,14
18,14,17,13
17,15,17,15
16,15,16,15
17,15,16,15
17,14,17,14
17,14,15,13
