category,total single core,total multi core,Integer single core,Integer multi core,AES single core (Integer),AES single core (Integer) MB/sec,AES multi core (Integer),AES multi core (Integer) MB/sec,Twofish single core (Integer),Twofish single core (Integer) MB/sec,Twofish multi core (Integer),Twofish multi core (Integer) MB/sec,SHA1 single core (Integer),SHA1 single core (Integer) MB/sec,SHA1 multi core (Integer),SHA1 multi core (Integer) MB/sec,SHA2 single core (Integer),SHA2 single core (Integer) MB/sec,SHA2 multi core (Integer),SHA2 multi core (Integer) MB/sec,BZip2 Compress single core (Integer),BZip2 Compress single core (Integer) MB/sec,BZip2 Compress multi core (Integer),BZip2 Compress multi core (Integer) MB/sec,BZip2 Decompress single core (Integer),BZip2 Decompress single core (Integer) MB/sec,BZip2 Decompress multi core (Integer),BZip2 Decompress multi core (Integer) MB/sec,JPEG Compress single core (Integer),JPEG Compress single core (Integer) Mpixels/sec,JPEG Compress multi core (Integer),JPEG Compress multi core (Integer) Mpixels/sec,JPEG Decompress single core (Integer),JPEG Decompress single core (Integer) Mpixels/sec,JPEG Decompress multi core (Integer),JPEG Decompress multi core (Integer) Mpixels/sec,PNG Compress single core (Integer),PNG Compress single core (Integer) Kpixels/sec,PNG Compress multi core (Integer),PNG Compress multi core (Integer) Kpixels/sec,PNG Decompress single core (Integer),PNG Decompress single core (Integer) Mpixels/sec,PNG Decompress multi core (Integer),PNG Decompress multi core (Integer) Mpixels/sec,Sobel single core (Integer),Sobel single core (Integer) Mpixels/sec,Sobel multi core (Integer),Sobel multi core (Integer) Mpixels/sec,Lua single core (Integer),Lua single core (Integer) KB/sec,Lua multi core (Integer),Lua multi core (Integer) KB/sec,Dijkstra single core (Integer),Dijkstra single core (Integer) Mpairs/sec,Dijkstra multi core (Integer),Dijkstra multi core (Integer) Mpairs/sec,Floating Point single core,Floating Point multi core,BlackScholes single core (Floating Point),BlackScholes single core (Floating Point) Mnodes/sec,BlackScholes multi core (Floating Point),BlackScholes multi core (Floating Point) Mnodes/sec,Mandelbrot single core (Floating Point),Mandelbrot single core (Floating Point) Mflops,Mandelbrot multi core (Floating Point),Mandelbrot multi core (Floating Point) Mflops,Sharpen Filter single core (Floating Point),Sharpen Filter single core (Floating Point) Mflops,Sharpen Filter multi core (Floating Point),Sharpen Filter multi core (Floating Point) Mflops,Blur Filter single core (Floating Point),Blur Filter single core (Floating Point) Mflops,Blur Filter multi core (Floating Point),Blur Filter multi core (Floating Point) Mflops,SGEMM single core (Floating Point),SGEMM single core (Floating Point) Gflops,SGEMM multi core (Floating Point),SGEMM multi core (Floating Point) Gflops,DGEMM single core (Floating Point),DGEMM single core (Floating Point) Mflops,DGEMM multi core (Floating Point),DGEMM multi core (Floating Point) Mflops,SFFT single core (Floating Point),SFFT single core (Floating Point) Mflops,SFFT multi core (Floating Point),SFFT multi core (Floating Point) Mflops,DFFT single core (Floating Point),DFFT single core (Floating Point) Mflops,DFFT multi core (Floating Point),DFFT multi core (Floating Point) Mflops,N-Body single core (Floating Point),N-Body single core (Floating Point) Kpairs/sec,N-Body multi core (Floating Point),N-Body multi core (Floating Point) Kpairs/sec,Ray Trace single core (Floating Point),Ray Trace single core (Floating Point) Kpixels/sec,Ray Trace multi core (Floating Point),Ray Trace multi core (Floating Point) Kpixels/sec
Power 7,552,1677,628,2178,50,44.1,200,44.1,967,54.3,3457,54.3,1084,117.7,3839,117.7,1175,50.9,4632,50.9,638,2.59,2279,2.59,679,3.68,2613,3.68,753,10.5,2851,10.5,705,17.5,2442,17.5,648,517.4,1726,517.4,912,10.5,2403,10.5,596,21.7,2409,21.7,594,546.9,2258,546.9,811,2.91,2166,2.91,416,1532,386,1.72,1526,1.72,357,366.6,1331,366.6,482,357.2,1905,357.2,551,525.6,1968,525.6,495,1.39,1547,1.39,279,410.7,1036,410.7,460,485.2,1820,485.2,328,299.4,1128,299.4,370,137.4,1436,137.4,551,650.9,1982,650.9
Power 7,540,1668,617,2167,51,44.9,195,44.9,965,54.2,3462,54.2,1012,109.9,3806,109.9,1184,51.2,4692,51.2,656,2.67,2327,2.67,679,3.68,2385,3.68,773,10.8,2924,10.8,667,16.5,2459,16.5,660,527.1,2419,527.1,958,11,2445,11,627,22.9,2220,22.9,588,541.9,1710,541.9,606,2.18,2157,2.18,405,1536,385,1.72,1537,1.72,340,349.2,1345,349.2,483,358.4,1936,358.4,494,471.5,1957,471.5,477,1.34,1545,1.34,271,399.5,1030,399.5,478,504.6,1856,504.6,311,283.7,1067,283.7,386,143.5,1432,143.5,525,619.7,2076,619.7
Power 6,545,1732,625,2287,51,45.5,197,45.5,917,51.5,3516,51.5,1078,117,3964,117,1179,51,4437,51,646,2.63,2365,2.63,695,3.77,2592,3.77,765,10.7,3022,10.7,667,16.5,2497,16.5,660,527.4,2368,527.4,852,9.82,2596,9.82,614,22.4,2215,22.4,586,539.2,2243,539.2,810,2.91,2725,2.91,422,1568,509,2.27,2016,2.27,352,360.7,1337,360.7,481,357,1889,357,499,475.9,1956,475.9,498,1.4,1395,1.4,279,410.5,987,410.5,471,496.8,1942,496.8,316,287.8,1128,287.8,369,137.2,1438,137.2,554,653.5,2090,653.5
Power 6,482,1522,472,1787,42,37.4,160,37.4,692,38.9,2733,38.9,767,83.3,2925,83.3,885,38.3,3483,38.3,526,2.14,1781,2.14,511,2.77,1844,2.77,573,7.98,2249,7.98,498,12.3,1949,12.3,481,384.3,1840,384.3,675,7.79,2565,7.79,446,16.2,1782,16.2,439,404.8,1647,404.8,608,2.18,2141,2.18,411,1543,386,1.72,1546,1.72,335,343.8,1326,343.8,525,389.6,1791,389.6,522,498.3,1979,498.3,493,1.38,1696,1.38,274,403.6,1025,403.6,488,515.3,1819,515.3,313,285.7,1130,285.7,366,135.9,1420,135.9,515,607.4,2088,607.4
Power 6,531,1624,591,2148,53,46.6,201,46.6,930,52.2,3565,52.2,1029,111.8,3684,111.8,1173,50.8,4427,50.8,645,2.62,2362,2.62,714,3.87,2373,3.87,752,10.5,3016,10.5,683,16.9,2553,16.9,652,521.3,2386,521.3,956,11,2628,11,467,17,1767,17,440,405,1687,405,603,2.17,2206,2.17,408,1443,386,1.72,1422,1.72,353,362.6,1316,362.6,480,355.9,1914,355.9,501,478.1,1998,478.1,459,1.29,1522,1.29,274,403.7,1008,403.7,452,476.7,1221,476.7,315,287.5,1067,287.5,384,142.7,1427,142.7,575,678.2,1931,678.2
Power 5,558,1653,616,2036,53,46.5,186,46.5,804,45.2,2935,45.2,918,99.7,3225,99.7,1177,50.9,3851,50.9,677,2.75,2081,2.75,716,3.88,2179,3.88,804,11.2,2432,11.2,665,16.5,2231,16.5,659,526.7,2147,526.7,867,10,2994,10,596,21.7,2057,21.7,584,537.4,1898,537.4,787,2.82,2470,2.82,467,1615,446,1.99,1647,1.99,447,458.2,1440,458.2,598,443.8,2067,443.8,658,627.7,2102,627.7,688,1.93,1952,1.93,305,448.4,978,448.4,479,505.6,1828,505.6,329,300.2,1112,300.2,368,136.6,1467,136.6,518,611.9,2067,611.9
Power 5,558,1670,611,2061,46,40.9,172,40.9,913,51.3,3257,51.3,1001,108.7,3307,108.7,1171,50.7,3829,50.7,641,2.61,2020,2.61,672,3.65,2273,3.65,694,9.67,2504,9.67,713,17.6,2296,17.6,637,508.9,2111,508.9,914,10.5,3221,10.5,630,22.9,1945,22.9,586,539.4,1929,539.4,746,2.68,2548,2.68,464,1646,411,1.83,1648,1.83,446,457.4,1445,457.4,524,388.8,2152,388.8,694,661.9,2154,661.9,682,1.91,2002,1.91,367,539.7,1158,539.7,468,494.4,1831,494.4,323,294.9,1088,294.9,367,136.3,1411,136.3,506,597,2034,597
Power 5,486,1468,477,1720,45,39.6,158,39.6,714,40.1,2752,40.1,759,82.5,2073,82.5,948,41,3350,41,482,1.96,1795,1.96,503,2.73,1920,2.73,588,8.2,2267,8.2,501,12.4,2019,12.4,497,397.1,1805,397.1,671,7.74,2642,7.74,444,16.2,1815,16.2,449,413.6,1283,413.6,609,2.19,2193,2.19,415,1478,412,1.84,1516,1.84,337,345.3,1340,345.3,483,358,1912,358,501,477.7,1981,477.7,522,1.46,1529,1.46,278,409.4,1019,409.4,498,525.2,1975,525.2,333,303.9,1088,303.9,363,135.1,1443,135.1,522,616,1341,616
Power 4,467,1206,451,1204,44,38.6,132,38.6,719,40.4,2096,40.4,786,85.3,2322,85.3,922,39.9,2720,39.9,493,2.01,1476,2.01,363,1.97,360,1.97,419,5.85,422,5.85,524,13,2029,13,499,398.9,1553,398.9,687,7.93,2617,7.93,442,16.1,1439,16.1,383,352.4,1379,352.4,622,2.23,1757,2.23,396,1335,304,1.36,1568,1.36,350,358.9,1039,358.9,497,368.4,1538,368.4,523,499,1577,499,530,1.48,1525,1.48,284,418.4,901,418.4,373,393.6,1606,393.6,312,284.9,988,284.9,381,141.7,1169,141.7,514,606.7,1790,606.7
Power 4,478,1364,482,1584,47,41.2,127,41.2,717,40.3,2123,40.3,783,85,2338,85,910,39.4,2699,39.4,492,2,1494,2,483,2.62,1946,2.62,601,8.38,2247,8.38,520,12.9,2036,12.9,507,405.6,1672,405.6,763,8.81,2711,8.81,471,17.2,1422,17.2,458,421.9,1407,421.9,516,1.85,1933,1.85,393,1367,294,1.31,1472,1.31,348,357.6,1026,357.6,461,342.2,1479,342.2,513,488.9,1590,488.9,490,1.37,1439,1.37,283,416.4,956,416.4,515,543.8,1903,543.8,258,235.4,1001,235.4,377,140.1,1134,140.1,533,629.2,2165,629.2
